id;BSSID;SSID;AvgRSSI;LocationID
84;a4:6c:2a:d4:bf:1b;Free Tbaytel WiFi;-63;2
85;a4:6c:2a:d4:bf:11;LakeheadU;-64;2
86;a4:6c:2a:d4:bf:10;LU-Guest;-65;2
87;a4:6c:2a:d4:bf:14;Free Tbaytel WiFi;-65;2
88;a4:6c:2a:d4:bf:12;eduroam;-65;2
89;a4:6c:2a:d4:bf:13;LU-Events;-65;2
90;a4:6c:2a:d4:bf:1f;LU-Guest;-70;2
91;a4:6c:2a:d4:bf:1c;LU-Events;-70;2
92;a4:6c:2a:d4:bf:1d;eduroam;-71;2
93;a4:6c:2a:d4:bf:1e;LakeheadU;-71;2
94;00:42:68:59:8b:f4;Free Tbaytel WiFi;-72;2
95;00:42:68:59:8b:fb;Free Tbaytel WiFi;-72;2
96;00:42:68:59:8b:fc;LU-Events;-72;2
97;00:42:68:59:8b:f0;LU-Guest;-73;2
98;00:42:68:59:8b:f1;LakeheadU;-73;2
99;00:42:68:59:8b:f2;eduroam;-73;2
100;a4:6c:2a:d4:ba:50;LU-Guest;-73;2
101;a4:6c:2a:d4:ba:54;Free Tbaytel WiFi;-73;2
102;a4:6c:2a:d4:ba:52;eduroam;-73;2
103;00:42:68:59:8b:fe;LakeheadU;-73;2
104;00:42:68:59:8b:ff;LU-Guest;-73;2
105;00:42:68:59:8b:fd;eduroam;-73;2
106;a4:6c:2a:d4:ba:51;LakeheadU;-74;2
107;a4:6c:2a:d4:ba:53;LU-Events;-74;2
108;00:42:68:59:8b:f3;LU-Events;-74;2
109;ac:7a:56:c8:62:07;Free Tbaytel WiFi;-76;2
110;ac:7a:56:c8:62:01;LU-Events;-76;2
111;ac:7a:56:c8:62:02;;-76;2
112;ac:7a:56:c8:62:03;LU-Guest;-76;2
113;80:e0:1d:ee:3f:63;Free Tbaytel WiFi;-78;2
114;ac:7a:56:c8:62:0d;;-78;2
115;ac:7a:56:c8:62:0e;LU-Events;-79;2
116;ac:7a:56:c8:62:0f;LakeheadU;-79;2
117;a4:6c:2a:d4:be:31;LakeheadU;-80;2
118;a2:53:22:40:4e:04;NOSMSecure;-80;2
119;a4:6c:2a:d4:be:34;Free Tbaytel WiFi;-80;2
