id;locationName;x;y;z
2;ElevatorSouth;0;0;5
3;Hallway020005;2;0;5
4;Hallway040005;4;0;5
5;Hallway060005;6;0;5
6;Hallway080005;8;0;5
7;Hallway100005;10;0;5
8;Hallway120005;12;0;5
9;Hallway140005;14;0;5
10;Hallway160005;16;0;5
11;Hallway180005;18;0;5
12;Hallway200005;20;0;5
13;Hallway220005;22;0;5
14;Hallway240005;24;0;5
15;Hallway260005;26;0;5
16;Hallway280005;28;0;5
17;Hallway300005;30;0;5
18;Hallway320005;32;0;5
19;Hallway340005;34;0;5
20;Hallway360005;36;0;5
21;Hallway380005;38;0;5
22;Hallway400005;40;0;5
23;Hallway420005;42;0;5
24;Hallway440005;44;0;5
25;Hallway460005;46;0;5
26;Hallway480005;48;0;5
27;Hallway500005;50;0;5
28;Hallway520005;52;0;5
29;Hallway540005;54;0;5
30;Hallway560005;56;0;5
31;Hallway580005;58;0;5
32;Hallway600005;60;0;5
33;Hallway620005;62;0;5
34;Hallway640005;64;0;5
35;ElevatorNorth;66;0;5
36;Hallway620205;62;2;5
37;Hallway620405;62;4;5
38;Hallway620605;62;6;5
39;Hallway620805;62;8;5
40;Hallway621005;62;10;5
41;Hallway621205;62;12;5
42;Hallway621405;62;14;5
43;Hallway621605;62;16;5
44;Hallway621805;62;18;5
45;Hallway601805;60;18;5
46;Hallway581805;58;18;5
47;Hallway561805;56;18;5
48;Hallway541805;54;18;5
49;Hallway521805;52;18;5
50;Hallway501805;50;18;5
51;Hallway481805;48;18;5
52;Hallway461805;46;18;5
53;Hallway441805;44;18;5
54;Hallway421805;42;18;5
55;Hallway401805;40;18;5
56;Hallway381805;38;18;5
57;Hallway361805;36;18;5
58;Hallway341805;34;18;5
59;Hallway321805;32;18;5
60;Hallway301805;30;18;5
61;Hallway281805;28;18;5
62;Hallway261805;26;18;5
63;Hallway241805;24;18;5
64;Hallway221805;22;18;5
65;Hallway201805;20;18;5
66;Hallway181805;18;18;5
67;Hallway161805;16;18;5
68;Hallway141805;14;18;5
69;Hallway121805;12;18;5
70;Hallway121605;12;16;5
71;Hallway121405;12;14;5
72;Hallway121205;12;12;5
73;Hallway121005;12;10;5
74;Hallway120805;12;8;5
75;Hallway120605;12;6;5
76;Hallway120405;12;4;5
77;Hallway120205;12;2;5
78;ElevatorSouth;0;0;4
79;Hallway020004;2;0;4
80;Hallway040004;4;0;4
81;Hallway060004;6;0;4
82;Hallway080004;8;0;4
83;Hallway100004;10;0;4
84;Hallway120004;12;0;4
85;Hallway140004;14;0;4
86;Hallway160004;16;0;4
87;Hallway180004;18;0;4
88;Hallway200004;20;0;4
89;Hallway220004;22;0;4
90;Hallway240004;24;0;4
91;Hallway260004;26;0;4
92;Hallway280004;28;0;4
93;Hallway300004;30;0;4
94;Hallway320004;32;0;4
95;Hallway340004;34;0;4
96;Hallway360004;36;0;4
97;Hallway380004;38;0;4
98;Hallway400004;40;0;4
99;Hallway420004;42;0;4
100;Hallway440004;44;0;4
101;Hallway460004;46;0;4
102;Hallway480004;48;0;4
103;Hallway500004;50;0;4
104;Hallway520004;52;0;4
105;Hallway540004;54;0;4
106;Hallway560004;56;0;4
107;Hallway580004;58;0;4
108;Hallway600004;60;0;4
109;Hallway620004;62;0;4
110;Hallway640004;64;0;4
111;ElevatorNorth;66;0;4
112;Hallway620204;62;2;4
113;Hallway620404;62;4;4
114;Hallway620604;62;6;4
115;Hallway620804;62;8;4
116;Hallway621004;62;10;4
117;Hallway621204;62;12;4
118;Hallway621404;62;14;4
119;Hallway621604;62;16;4
120;Hallway621804;62;18;4
121;Hallway622004;62;20;4
122;Hallway622204;62;22;4
123;Hallway602204;60;22;4
124;Hallway582204;58;22;4
125;Hallway562204;56;22;4
126;Hallway542204;54;22;4
127;Hallway522204;52;22;4
128;Hallway502204;50;22;4
129;Hallway482204;48;22;4
130;Hallway462204;46;22;4
131;Hallway442204;44;22;4
132;Hallway422204;42;22;4
133;Hallway402204;40;22;4
134;Hallway382204;38;22;4
135;Hallway362204;36;22;4
136;Hallway342204;34;22;4
137;Hallway322204;32;22;4
138;Hallway302204;30;22;4
139;Hallway282204;28;22;4
140;Hallway262204;26;22;4
141;Hallway242204;24;22;4
142;Hallway222204;22;22;4
143;Hallway202204;20;22;4
144;Hallway182204;18;22;4
145;Hallway162204;16;22;4
146;Hallway142204;14;22;4
147;Hallway122204;12;22;4
148;Hallway102204;10;22;4
149;Hallway102004;10;20;4
150;Hallway101804;10;18;4
151;Hallway101604;10;16;4
152;Hallway101404;10;14;4
153;Hallway101204;10;12;4
154;Hallway101004;10;10;4
155;Hallway100804;10;8;4
156;Hallway100604;10;6;4
157;Hallway100404;10;4;4
158;Hallway100204;10;2;4
159;ElevatorSouth;0;0;3
160;Hallway020003;2;0;3
161;Hallway040003;4;0;3
162;Hallway060003;6;0;3
163;Hallway080003;8;0;3
164;Hallway100003;10;0;3
165;Hallway120003;12;0;3
166;Hallway140003;14;0;3
167;Hallway160003;16;0;3
168;Hallway180003;18;0;3
169;Hallway200003;20;0;3
170;Hallway220003;22;0;3
171;Hallway240003;24;0;3
172;Hallway260003;26;0;3
173;Hallway280003;28;0;3
174;Hallway300003;30;0;3
175;Hallway320003;32;0;3
176;Hallway340003;34;0;3
177;Hallway360003;36;0;3
178;Hallway380003;38;0;3
179;Hallway400003;40;0;3
180;Hallway420003;42;0;3
181;Hallway440003;44;0;3
182;Hallway460003;46;0;3
183;Hallway480003;48;0;3
184;Hallway500003;50;0;3
185;Hallway520003;52;0;3
186;Hallway540003;54;0;3
187;Hallway560003;56;0;3
188;Hallway580003;58;0;3
189;Hallway600003;60;0;3
190;Hallway620003;62;0;3
191;Hallway640003;64;0;3
192;ElevatorNorth;66;0;3
193;Hallway620203;62;2;3
194;Hallway620403;62;4;3
195;Hallway620603;62;6;3
196;Hallway620803;62;8;3
197;Hallway621003;62;10;3
198;Hallway621203;62;12;3
199;Hallway621403;62;14;3
200;Hallway621603;62;16;3
201;Hallway621803;62;18;3
202;Hallway622003;62;20;3
203;Hallway622203;62;22;3
205;Hallway602203;60;22;3
206;Hallway582203;58;22;3
207;Hallway562203;56;22;3
208;Hallway542203;54;22;3
209;Hallway522203;52;22;3
210;Hallway502203;50;22;3
211;Hallway482203;48;22;3
212;Hallway462203;46;22;3
213;Hallway442203;44;22;3
214;Hallway422203;42;22;3
215;Hallway402203;40;22;3
216;Hallway382203;38;22;3
217;Hallway362203;36;22;3
218;Hallway342203;34;22;3
219;Hallway322203;32;22;3
220;Hallway302203;30;22;3
221;Hallway282203;28;22;3
222;Hallway262203;26;22;3
223;Hallway242203;24;22;3
224;Hallway222203;22;22;3
225;Hallway202203;20;22;3
226;Hallway182203;18;22;3
227;Hallway162203;16;22;3
228;Hallway142203;14;22;3
229;Hallway122203;12;22;3
230;Hallway102203;10;22;3
231;Hallway102003;10;20;3
232;Hallway101803;10;18;3
233;Hallway101603;10;16;3
234;Hallway101403;10;14;3
235;Hallway101203;10;12;3
236;Hallway101003;10;10;3
237;Hallway100803;10;8;3
238;Hallway100603;10;6;3
239;Hallway100403;10;4;3
240;Hallway100203;10;2;3
