id;BSSID;SSID;AvgRSSI;LocationID
272;a4:6c:2a:d4:bf:1d;eduroam;-47;7
273;a4:6c:2a:d4:bf:14;Free Tbaytel WiFi;-51;7
274;a4:6c:2a:d4:bf:10;LU-Guest;-52;7
275;a4:6c:2a:d4:bf:12;eduroam;-52;7
276;a4:6c:2a:d4:bf:1f;LU-Guest;-52;7
277;a4:6c:2a:d4:bf:1b;Free Tbaytel WiFi;-52;7
278;a4:6c:2a:d4:bf:11;LakeheadU;-53;7
279;a4:6c:2a:d4:bf:13;LU-Events;-53;7
280;a4:6c:2a:d4:bf:1e;LakeheadU;-53;7
281;00:42:68:59:8b:f0;LU-Guest;-64;7
282;00:42:68:59:8b:f2;eduroam;-64;7
283;00:42:68:59:8b:f1;LakeheadU;-65;7
284;00:42:68:59:8b:f4;Free Tbaytel WiFi;-65;7
285;00:42:68:59:8b:f3;LU-Events;-66;7
286;a4:6c:2a:d4:ba:50;LU-Guest;-68;7
287;a4:6c:2a:d4:ba:53;LU-Events;-68;7
288;a4:6c:2a:d4:ba:54;Free Tbaytel WiFi;-68;7
289;a4:6c:2a:d4:ba:52;eduroam;-69;7
290;a4:6c:2a:d4:ba:51;LakeheadU;-69;7
291;80:e0:1d:ee:3f:63;Free Tbaytel WiFi;-70;7
292;80:e0:1d:ee:3f:64;eduroam;-70;7
293;80:e0:1d:ee:3f:62;LU-Events;-70;7
294;80:e0:1d:ee:3f:61;LU-Guest;-70;7
295;80:e0:1d:ee:3f:60;LakeheadU;-71;7
296;80:e0:1d:e6:79:d4;Free Tbaytel WiFi;-72;7
297;80:e0:1d:e6:79:d2;eduroam;-72;7
298;ac:7a:56:c8:62:05;;-73;7
299;80:e0:1d:e6:79:d1;LakeheadU;-73;7
300;ac:7a:56:c8:62:03;LU-Guest;-75;7
301;9c:53:22:40:4e:04;TBAYTech;-75;7
302;ac:7a:56:c8:62:00;LakeheadU;-75;7
303;ac:7a:56:c8:62:07;Free Tbaytel WiFi;-76;7
304;ac:7a:56:c8:62:08;eduroam;-76;7
305;ae:53:22:40:4e:04;NOSMConnect24;-77;7
306;a2:53:22:40:4e:04;NOSMSecure;-77;7
307;a6:53:22:40:4e:04;eduroam;-77;7
308;aa:53:22:40:4e:04;NOSMConnect;-77;7
309;a4:6c:2a:d4:be:32;eduroam;-82;7
310;a4:6c:2a:d4:be:31;LakeheadU;-82;7
311;a4:6c:2a:d4:be:33;LU-Events;-82;7
312;80:e0:1d:f6:a4:d2;eduroam;-83;7
313;80:e0:1d:f6:a4:d3;LU-Events;-83;7
314;80:e0:1d:ee:40:50;LU-Guest;-83;7
315;80:e0:1d:f6:a4:d4;Free Tbaytel WiFi;-84;7
316;80:e0:1d:e6:79:d0;LU-Guest;-84;7
317;80:e0:1d:f6:a4:d0;LU-Guest;-84;7
318;80:e0:1d:f6:a4:d1;LakeheadU;-84;7
319;80:e0:1d:ee:40:54;Free Tbaytel WiFi;-84;7
320;a4:6c:2a:e0:20:00;LU-Guest;-86;7
321;82:f2:e0:d1:f9:74;portthru;-87;7
322;e8:de:27:f8:06:78;TP-LINK_F80678_Xiaoping;-88;7
323;80:e0:1d:e6:7b:31;LakeheadU;-89;7
324;9c:53:22:40:4e:05;TBAYTech;-90;7
325;aa:53:22:40:4e:05;NOSMConnect;-91;7
326;a4:6c:2a:d4:ba:5b;Free Tbaytel WiFi;-92;7
327;a4:6c:2a:d4:ba:5f;LU-Guest;-93;7
328;a4:6c:2a:d4:ba:5c;LU-Events;-93;7
329;ba:a3:32:e1:97:09;Xerox;-93;7
330;ac:7a:56:c8:62:00;LakeheadU;-79;8
331;ac:7a:56:c8:62:01;LU-Events;-79;8
332;ac:7a:56:c8:62:04;;-79;8
333;ac:7a:56:c8:62:05;;-79;8
334;ac:7a:56:c8:62:08;eduroam;-79;8
335;a4:6c:2a:d4:ba:53;LU-Events;-84;8
336;a4:6c:2a:d4:ba:54;Free Tbaytel WiFi;-86;8
337;a4:6c:2a:d4:ba:50;LU-Guest;-84;8
338;a4:6c:2a:d4:ba:52;eduroam;-87;8
339;ae:53:22:40:4f:7a;NOSMConnect24;-82;8
340;80:e0:1d:ee:3f:63;Free Tbaytel WiFi;-78;8
341;80:e0:1d:ee:3f:64;eduroam;-78;8
342;80:e0:1d:ee:3f:60;LakeheadU;-76;8
343;80:e0:1d:ee:3f:61;LU-Guest;-78;8
344;80:e0:1d:ee:3f:62;LU-Events;-78;8
345;a4:6c:2a:d4:bf:1f;LU-Guest;-41;8
346;a4:6c:2a:d4:bf:1d;eduroam;-43;8
347;a4:6c:2a:d4:bf:1e;LakeheadU;-41;8
348;a4:6c:2a:d4:bf:1b;Free Tbaytel WiFi;-41;8
349;a4:6c:2a:d4:bf:1c;LU-Events;-41;8
350;80:e0:1d:e6:79:d2;eduroam;-76;8
351;80:e0:1d:e6:79:d1;LakeheadU;-75;8
352;80:e0:1d:e6:79:d0;LU-Guest;-77;8
353;80:e0:1d:e6:79:d4;Free Tbaytel WiFi;-76;8
354;80:e0:1d:e6:79:d3;LU-Events;-76;8
355;00:42:68:59:8b:f1;LakeheadU;-85;8
356;00:42:68:59:8b:f0;LU-Guest;-86;8
357;00:42:68:59:8b:f3;LU-Events;-86;8
358;00:42:68:59:8b:f2;eduroam;-86;8
359;00:42:68:59:8b:f4;Free Tbaytel WiFi;-86;8
360;80:e0:1d:ac:8b:04;Free Tbaytel WiFi;-85;8
361;80:e0:1d:ac:8b:03;LU-Events;-89;8
362;80:e0:1d:ac:8b:01;LakeheadU;-86;8
363;80:e0:1d:ac:8b:00;LU-Guest;-87;8
364;9c:53:22:40:4e:04;TBAYTech;-82;8
365;82:f2:e0:d1:f9:74;portthru;-87;8
366;6c:5a:b0:3d:73:c1;Quanser_UVS;-88;8
367;a6:53:22:40:4e:05;eduroam;-92;8
368;a6:53:22:40:4e:04;eduroam;-82;8
369;a4:6c:2a:d4:bf:14;Free Tbaytel WiFi;-51;8
370;a4:6c:2a:d4:bf:12;eduroam;-50;8
371;a4:6c:2a:d4:bf:13;LU-Events;-50;8
372;a4:6c:2a:d4:bf:10;LU-Guest;-51;8
373;a4:6c:2a:d4:bf:11;LakeheadU;-50;8
