id;locationName;x;y;z
7;ElevatorSouth;0;0;5
8;HallwayX205;2;0;5
9;HallwayX405;4;0;5
10;HallwayX605;6;0;5
11;HallwayX805;8;0;5
12;HallwayX1005;10;0;5
13;HallwayX1205;12;0;5
14;HallwayX1405;14;0;5
15;HallwayX1605;16;0;5
16;HallwayX1805;18;0;5
17;HallwayX2005;20;0;5
18;HallwayX2205;22;0;5
19;HallwayX2405;24;0;5
20;HallwayX2605;26;0;5
21;HallwayX2805;28;0;5
22;HallwayX3005;30;0;5
23;HallwayX3205;32;0;5
24;HallwayX3405;34;0;5
25;HallwayX3605;36;0;5
26;HallwayX3805;38;0;5
27;HallwayX4005;40;0;5
28;HallwayX4205;42;0;5
29;HallwayX4405;44;0;5
30;HallwayX4605;46;0;5
31;HallwayX4805;48;0;5
32;HallwayX5005;50;0;5
33;HallwayX5205;52;0;5
34;HallwayX5405;54;0;5
35;HallwayX5605;56;0;5
36;HallwayX5805;58;0;5
37;HallwayX6005;60;0;5
38;HallwayX6205;62;0;5
39;HallwayX6405;64;0;5
40;ElevatorNorth;66;0;5
41;HallwayY6225;62;2;5
42;HallwayY6245;62;4;5
43;HallwayY6265;62;6;5
44;HallwayY6285;62;8;5
45;HallwayY62105;62;10;5
46;HallwayY62125;62;12;5
47;HallwayY62145;62;14;5
48;HallwayY62165;62;16;5
49;HallwayX60185;60;18;5
50;HallwayX58185;58;18;5
51;HallwayX56185;56;18;5
52;HallwayX54185;54;18;5
53;HallwayX52185;52;18;5
54;HallwayX50185;50;18;5
55;HallwayX48185;48;18;5
56;HallwayX46185;46;18;5
57;HallwayX44185;44;18;5
58;HallwayX42185;42;18;5
59;HallwayX40185;40;18;5
60;HallwayX38185;38;18;5
61;HallwayX36185;36;18;5
62;HallwayX34185;34;18;5
63;HallwayX32185;32;18;5
64;HallwayX30185;30;18;5
65;HallwayX28185;28;18;5
66;HallwayX26185;26;18;5
67;HallwayX24185;24;18;5
68;HallwayX22185;22;18;5
69;HallwayX20185;20;18;5
70;HallwayX18185;18;18;5
71;HallwayX16185;16;18;5
72;HallwayX14185;14;18;5
73;HallwayX12185;12;18;5
74;HallwayY12165;12;16;5
75;HallwayY12145;12;14;5
76;HallwayY12125;12;12;5
77;HallwayY12105;12;10;5
78;HallwayY1285;12;8;5
79;HallwayY1265;12;6;5
80;HallwayY1245;12;4;5
81;HallwayY1225;12;2;5
82;HallwayY62185;62;18;5
84;ElevatorSouth;0;0;4
85;Hallway020004;2;0;4
86;Hallway040004;4;0;4
87;Hallway060004;6;0;4
88;Hallway080004;8;0;4
89;Hallway100004;10;0;4
90;Hallway120004;12;0;4
91;Hallway140004;14;0;4
92;Hallway160004;16;0;4
93;Hallway180004;18;0;4
94;Hallway200004;20;0;4
95;Hallway220004;22;0;4
96;Hallway240004;24;0;4
97;Hallway260004;26;0;4
98;Hallway280004;28;0;4
99;Hallway300004;30;0;4
100;Hallway320004;32;0;4
101;Hallway340004;34;0;4
102;Hallway360004;36;0;4
103;Hallway380004;38;0;4
104;Hallway400004;40;0;4
105;Hallway420004;42;0;4
106;Hallway440004;44;0;4
107;Hallway460004;46;0;4
108;Hallway480004;48;0;4
109;Hallway500004;50;0;4
110;Hallway520004;52;0;4
111;Hallway540004;54;0;4
112;Hallway560004;56;0;4
113;Hallway580004;58;0;4
114;Hallway600004;60;0;4
115;Hallway620004;62;0;4
116;Hallway640004;64;0;4
117;ElevatorNorth;66;0;4
118;Hallway620204;62;2;4
119;Hallway620404;62;4;4
120;Hallway620604;62;6;4
121;Hallway620804;62;8;4
122;Hallway621004;62;10;4
123;Hallway621204;62;12;4
124;Hallway621404;62;14;4
125;Hallway621604;62;16;4
126;Hallway621804;62;18;4
127;Hallway622004;62;20;4
128;Hallway622204;62;22;4
129;Hallway602204;60;22;4
130;Hallway582204;58;22;4
131;Hallway562204;56;22;4
132;Hallway542204;54;22;4
133;Hallway522204;52;22;4
134;Hallway502204;50;22;4
135;Hallway482204;48;22;4
136;Hallway462204;46;22;4
137;Hallway442204;44;22;4
138;Hallway422204;42;22;4
139;Hallway402204;40;22;4
140;Hallway382204;38;22;4
141;Hallway362204;36;22;4
142;Hallway342204;34;22;4
143;Hallway322204;32;22;4
144;Hallway302204;30;22;4
145;Hallway282204;28;22;4
146;Hallway262204;26;22;4
147;Hallway242204;24;22;4
148;Hallway222204;22;22;4
149;Hallway202204;20;22;4
150;Hallway182204;18;22;4
151;Hallway162204;16;22;4
152;Hallway142204;14;22;4
153;Hallway122204;12;22;4
154;Hallway102204;10;22;4
155;Hallway102004;10;20;4
156;Hallway101804;10;18;4
157;Hallway101604;10;16;4
158;Hallway101404;10;14;4
159;Hallway101204;10;12;4
160;Hallway101004;10;10;4
161;Hallway100804;10;8;4
162;Hallway100604;10;6;4
163;Hallway100404;10;4;4
